model_name,comments_size_bytes,comments_size_kb,comments_lines,comments_characters,comments_tokens,comments_words,tla_size_bytes,tla_size_kb,tla_lines,tla_characters,tla_tokens,tla_words,cfg_size_bytes,cfg_size_kb,cfg_lines,cfg_characters,cfg_tokens,cfg_words,total_size_bytes,total_size_kb,total_tokens,reasoning_tokens,default_tokens
aba_asyn_byz,1965,1.92,32,1934,437,311,,,,,,,117,0.11,8,117,45,18,2082,2.03,482,437,45
ACP_NB,2132,2.08,48,2085,441,305,,,,,,,,,,,,,2132,2.08,441,441,
ACP_NB_TLC,99,0.1,3,97,25,18,,,,,,,1038,1.01,36,1038,283,147,1137,1.11,308,25,283
ACP_NB_WRONG_TLC,1390,1.36,30,1361,273,201,,,,,,,376,0.37,23,376,104,57,1766,1.72,377,273,104
ACP_SB,4186,4.09,135,4052,920,595,,,,,,,,,,,,,4186,4.09,920,920,
ACP_SB_TLC,99,0.1,3,97,25,18,,,,,,,1045,1.02,37,1045,287,145,1144,1.12,312,25,287
AllocatorImplementation,3777,3.69,61,3717,628,520,,,,,,,229,0.22,15,229,69,20,4006,3.91,697,628,69
AllocatorRefinement,210,0.21,3,208,18,13,,,,,,,110,0.11,9,110,35,11,320,0.31,53,18,35
SchedulingAllocator,3595,3.51,57,3539,605,502,,,,,,,266,0.26,16,266,79,26,3861,3.77,684,605,79
SimpleAllocator,1906,1.86,31,1876,314,248,,,,,,,253,0.25,15,253,74,26,2159,2.11,388,314,74
Bakery,7007,6.84,143,6865,1343,808,,,,,,,,,,,,,7007,6.84,1343,1343,
Boulanger,10872,10.62,194,10679,2276,1549,,,,,,,,,,,,,10872,10.62,2276,2276,
MCBakery,,,,,,,,,,,,,222,0.22,10,222,68,23,222,0.22,68,,68
MCBoulanger,,,,,,,,,,,,,137,0.13,8,137,41,18,137,0.13,41,,41
bcastByz,9785,9.56,156,9630,2280,1547,,,,,,,124,0.12,8,124,47,19,9909,9.68,2327,2280,47
bcastFolklore,2878,2.81,55,2824,628,474,,,,,,,123,0.12,8,123,47,19,3001,2.93,675,628,47
