model_name,tla_size_bytes,tla_size_kb,tla_lines,tla_characters,tla_tokens,tla_words,cfg_size_bytes,cfg_size_kb,cfg_lines,cfg_characters,cfg_tokens,cfg_words,total_size_bytes,total_size_kb,total_tokens,has_cfg,llm_backend,llm_model,llm_input_tokens,llm_output_tokens,llm_total_tokens,llm_reasoning_tokens,llm_regular_tokens
Alternate,1919,1.87,40,1897,445,248,525,0.51,9,525,98,70,2444,2.39,543,True,ollama,deepseek-r1:70b,,,,,
BinarySearch,1744,1.7,87,1744,499,292,0,0.0,0,0,0,0,1744,1.7,499,True,ollama,deepseek-r1:70b,3288,1247,4535,,
BufferedRandomAccessFile,3311,3.23,125,3299,832,488,0,0.0,0,0,0,0,3311,3.23,832,True,ollama,deepseek-r1:70b,,,,,
ClientCentric,5439,5.31,179,5439,1216,685,0,0.0,0,0,0,0,5439,5.31,1216,True,ollama,deepseek-r1:70b,,,,,
Consensus,836,0.82,38,808,215,126,0,0.0,0,0,0,0,836,0.82,215,True,ollama,deepseek-r1:70b,2751,955,3706,,
EWD687a_anim,5094,4.97,135,4893,1214,623,0,0.0,0,0,0,0,5094,4.97,1214,True,ollama,deepseek-r1:70b,,,,,
EWD998ChanID_export,3060,2.99,73,3060,676,371,593,0.58,17,593,136,80,3653,3.57,812,True,ollama,deepseek-r1:70b,,,,,
EnvironmentController,5476,5.35,181,5375,1100,540,0,0.0,0,0,0,0,5476,5.35,1100,True,ollama,deepseek-r1:70b,3450,1635,5085,,
HDiskSynod,1771,1.73,75,1761,549,284,0,0.0,0,0,0,0,1771,1.73,549,True,ollama,deepseek-r1:70b,,,,,
Hanoi,3462,3.38,83,3460,907,561,0,0.0,0,0,0,0,3462,3.38,907,True,ollama,deepseek-r1:70b,,,,,
KVsnap,1983,1.94,98,1892,634,333,0,0.0,0,0,0,0,1983,1.94,634,True,ollama,deepseek-r1:70b,,,,,
MCConsensus,1879,1.83,71,1879,493,293,962,0.94,22,962,245,150,2841,2.77,738,True,ollama,deepseek-r1:70b,,,,,
MCDieHarder,1119,1.09,29,1119,216,139,0,0.0,0,0,0,0,1119,1.09,216,True,ollama,deepseek-r1:70b,,,,,
MCEWD687a,3447,3.37,110,3436,733,379,0,0.0,0,0,0,0,3447,3.37,733,True,ollama,deepseek-r1:70b,,,,,
Majority,3654,3.57,97,3616,795,482,0,0.0,0,0,0,0,3654,3.57,795,True,ollama,deepseek-r1:70b,,,,,
MajorityProof,1908,1.86,35,1908,422,276,0,0.0,0,0,0,0,1908,1.86,422,True,ollama,deepseek-r1:70b,,,,,
MultiPaxos,4501,4.4,127,4497,886,527,0,0.0,0,0,0,0,4501,4.4,886,True,ollama,deepseek-r1:70b,,,,,
MultiPaxos_MC,1518,1.48,41,1518,340,202,0,0.0,0,0,0,0,1518,1.48,340,True,ollama,deepseek-r1:70b,,,,,
Relation,3083,3.01,73,3081,579,318,238,0.23,5,238,98,39,3321,3.24,677,True,ollama,deepseek-r1:70b,,,,,
SimpleRegular,1779,1.74,65,1718,655,336,0,0.0,0,0,0,0,1779,1.74,655,True,ollama,deepseek-r1:70b,,,,,
TLAPS,4527,4.42,131,4519,1346,732,0,0.0,0,0,0,0,4527,4.42,1346,True,ollama,deepseek-r1:70b,,,,,
TwoPhase,1045,1.02,37,1039,272,182,221,0.22,6,221,56,34,1266,1.24,328,True,ollama,deepseek-r1:70b,,,,,
VoucherCancel,8979,8.77,226,8783,1991,1023,0,0.0,0,0,0,0,8979,8.77,1991,True,ollama,deepseek-r1:70b,,,,,
VoucherTransfer,2335,2.28,52,2335,528,321,0,0.0,0,0,0,0,2335,2.28,528,True,ollama,deepseek-r1:70b,,,,,
YoYoNoPruning,5242,5.12,149,5240,1248,718,0,0.0,0,0,0,0,5242,5.12,1248,True,ollama,deepseek-r1:70b,,,,,
nbacc_ray97,2337,2.28,101,2269,880,439,152,0.15,6,152,36,26,2489,2.43,916,True,ollama,deepseek-r1:70b,,,,,
