model_name,tla_size_bytes,tla_size_kb,tla_lines,tla_characters,tla_tokens,tla_words,cfg_size_bytes,cfg_size_kb,cfg_lines,cfg_characters,cfg_tokens,cfg_words,total_size_bytes,total_size_kb,total_tokens,has_cfg,llm_backend,llm_model,llm_input_tokens,llm_output_tokens,llm_total_tokens
Alternate,2510,2.45,63,2510,523,317,0,0.0,0,0,0,0,2510,2.45,523,True,ollama,gpt-oss:20b,,,
BinarySearch,5118,5.0,142,5112,1162,683,0,0.0,0,0,0,0,5118,5.0,1162,True,ollama,gpt-oss:20b,5970,1925,7895
BufferedRandomAccessFile,320,0.31,15,312,80,52,0,0.0,0,0,0,0,320,0.31,80,True,ollama,gpt-oss:20b,,,
ClientCentric,347144,339.01,4192,347102,38268,20555,0,0.0,0,0,0,0,347144,339.01,38268,True,ollama,gpt-oss:20b,,,
Consensus,3734,3.65,84,3720,604,359,0,0.0,0,0,0,0,3734,3.65,604,True,ollama,gpt-oss:20b,7273,1010,8283
EWD687a_anim,7193,7.02,199,7173,2048,1068,0,0.0,0,0,0,0,7193,7.02,2048,True,ollama,gpt-oss:20b,,,
EWD998ChanID_export,41,0.04,2,41,11,5,0,0.0,0,0,0,0,41,0.04,11,True,ollama,gpt-oss:20b,,,
EnvironmentController,7511,7.33,198,7499,1786,971,0,0.0,0,0,0,0,7511,7.33,1786,True,ollama,gpt-oss:20b,,,
HDiskSynod,2270,2.22,72,2264,438,227,0,0.0,0,0,0,0,2270,2.22,438,True,ollama,gpt-oss:20b,,,
Hanoi,3576,3.49,98,3572,769,381,0,0.0,0,0,0,0,3576,3.49,769,True,ollama,gpt-oss:20b,,,
KVsnap,5064,4.95,138,5058,1264,717,0,0.0,0,0,0,0,5064,4.95,1264,True,ollama,gpt-oss:20b,6131,1635,7766
MCConsensus,2058,2.01,47,2058,365,258,0,0.0,0,0,0,0,2058,2.01,365,True,ollama,gpt-oss:20b,,,
MCDieHarder,325,0.32,23,325,107,45,0,0.0,0,0,0,0,325,0.32,107,True,ollama,gpt-oss:20b,,,
MCEWD687a,4239,4.14,135,4239,764,379,0,0.0,0,0,0,0,4239,4.14,764,True,ollama,gpt-oss:20b,,,
Majority,6713,6.56,175,6685,1499,866,0,0.0,0,0,0,0,6713,6.56,1499,True,ollama,gpt-oss:20b,,,
MajorityProof,652,0.64,13,652,68,44,0,0.0,0,0,0,0,652,0.64,68,True,ollama,gpt-oss:20b,,,
MultiPaxos,32,0.03,2,32,9,5,0,0.0,0,0,0,0,32,0.03,9,True,ollama,gpt-oss:20b,,,
MultiPaxos_MC,256,0.25,9,252,68,38,0,0.0,0,0,0,0,256,0.25,68,True,ollama,gpt-oss:20b,,,
Relation,3009,2.94,91,3009,708,389,0,0.0,0,0,0,0,3009,2.94,708,True,ollama,gpt-oss:20b,,,
SimpleRegular,2693,2.63,93,2693,637,363,0,0.0,0,0,0,0,2693,2.63,637,True,ollama,gpt-oss:20b,6413,1973,8386
TLAPS,2104,2.05,51,2102,411,218,0,0.0,0,0,0,0,2104,2.05,411,True,ollama,gpt-oss:20b,,,
TwoPhase,4004,3.91,86,3994,586,328,0,0.0,0,0,0,0,4004,3.91,586,True,ollama,gpt-oss:20b,,,
VoucherCancel,11209,10.95,327,11165,3002,1494,0,0.0,0,0,0,0,11209,10.95,3002,True,ollama,gpt-oss:20b,6948,3778,10726
VoucherTransfer,8629,8.43,218,8623,2418,1003,0,0.0,0,0,0,0,8629,8.43,2418,True,ollama,gpt-oss:20b,,,
YoYoNoPruning,35,0.03,2,35,10,5,0,0.0,0,0,0,0,35,0.03,10,True,ollama,gpt-oss:20b,,,
nbacc_ray97,5378,5.25,145,5362,1238,731,0,0.0,0,0,0,0,5378,5.25,1238,True,ollama,gpt-oss:20b,,,
