model_name,tla_size_bytes,tla_size_kb,tla_lines,tla_characters,tla_tokens,tla_words,cfg_size_bytes,cfg_size_kb,cfg_lines,cfg_characters,cfg_tokens,cfg_words,total_size_bytes,total_size_kb,total_tokens,has_cfg,llm_backend,llm_model,llm_input_tokens,llm_output_tokens,llm_total_tokens
Alternate,1031,1.01,30,1031,244,129,0,0.0,0,0,0,0,1031,1.01,244,True,ollama,llama3.1:latest,,,
BinarySearch,3098,3.03,74,3098,711,451,0,0.0,0,0,0,0,3098,3.03,711,True,ollama,llama3.1:latest,3314,712,4026
BufferedRandomAccessFile,2866,2.8,138,2866,798,340,0,0.0,0,0,0,0,2866,2.8,798,True,ollama,llama3.1:latest,4059,799,4858
ClientCentric,5105,4.99,126,5061,1301,657,0,0.0,0,0,0,0,5105,4.99,1301,True,ollama,llama3.1:latest,,,
Consensus,1221,1.19,40,1221,267,154,0,0.0,0,0,0,0,1221,1.19,267,True,ollama,llama3.1:latest,2770,268,3038
EWD687a_anim,2560,2.5,89,2560,715,349,0,0.0,0,0,0,0,2560,2.5,715,True,ollama,llama3.1:latest,,,
EWD998ChanID_export,1759,1.72,42,1759,479,245,201,0.2,13,201,64,23,1960,1.91,543,True,ollama,llama3.1:latest,,,
EnvironmentController,7712,7.53,208,7710,1903,1224,0,0.0,0,0,0,0,7712,7.53,1903,True,ollama,llama3.1:latest,6938,3804,10742
HDiskSynod,793,0.77,18,791,161,91,0,0.0,0,0,0,0,793,0.77,161,True,ollama,llama3.1:latest,,,
Hanoi,3713,3.63,82,3713,1012,598,0,0.0,0,0,0,0,3713,3.63,1012,True,ollama,llama3.1:latest,,,
KVsnap,6031,5.89,119,6031,1489,873,0,0.0,0,0,0,0,6031,5.89,1489,True,ollama,llama3.1:latest,3515,1491,5006
MCConsensus,816,0.8,20,816,113,65,89,0.09,4,89,26,12,905,0.88,139,True,ollama,llama3.1:latest,,,
MCDieHarder,1325,1.29,31,1325,287,186,84,0.08,3,84,23,10,1409,1.38,310,True,ollama,llama3.1:latest,,,
MCEWD687a,1179,1.15,28,1179,181,75,279,0.27,9,279,42,18,1458,1.42,223,True,ollama,llama3.1:latest,,,
Majority,2799,2.73,50,2799,662,435,0,0.0,0,0,0,0,2799,2.73,662,True,ollama,llama3.1:latest,,,
MajorityProof,875,0.85,24,875,170,91,0,0.0,0,0,0,0,875,0.85,170,True,ollama,llama3.1:latest,,,
MultiPaxos,3072,3.0,122,3072,845,382,0,0.0,0,0,0,0,3072,3.0,845,True,ollama,llama3.1:latest,3926,845,4771
MultiPaxos_MC,35,0.03,2,35,10,5,219,0.21,15,219,74,25,254,0.25,84,True,ollama,llama3.1:latest,,,
Relation,1584,1.55,37,1584,416,263,0,0.0,0,0,0,0,1584,1.55,416,True,ollama,llama3.1:latest,,,
SimpleRegular,1491,1.46,41,1491,431,217,0,0.0,0,0,0,0,1491,1.46,431,True,ollama,llama3.1:latest,3750,432,4182
TLAPS,2204,2.15,73,2204,651,196,0,0.0,0,0,0,0,2204,2.15,651,True,ollama,llama3.1:latest,,,
TwoPhase,2302,2.25,41,2302,518,330,67,0.07,3,67,25,10,2369,2.31,543,True,ollama,llama3.1:latest,,,
VoucherCancel,4807,4.69,120,4807,1196,752,0,0.0,0,0,0,0,4807,4.69,1196,True,ollama,llama3.1:latest,3776,1197,4973
VoucherTransfer,3084,3.01,71,3084,791,407,0,0.0,0,0,0,0,3084,3.01,791,True,ollama,llama3.1:latest,7864,1584,9448
YoYoNoPruning,3801,3.71,95,3801,1056,599,0,0.0,0,0,0,0,3801,3.71,1056,True,ollama,llama3.1:latest,,,
nbacc_ray97,3795,3.71,81,3795,1110,634,0,0.0,0,0,0,0,3795,3.71,1110,True,ollama,llama3.1:latest,,,
