model_name,parse_status,first_error_line,first_error_type,error_location_category,error_types_found,first_error_message
MCDieHarder,FAILED,2,Lexical Error: Backtick Character,early,Lexical Error: Backtick Character,"latest/generated/MCDieHarder.tla
Lexical error at line 2, column 114.  Encountered: ""`"" (96), after : """""
ClientCentric,FAILED,2,Lexical Error: Backtick Character,early,Lexical Error: Backtick Character,"test/generated/ClientCentric.tla
Lexical error at line 2, column 370.  Encountered: ""`"" (96), after : """""
HDiskSynod,FAILED,2,Lexical Error: Semicolon,early,Lexical Error: Semicolon,":latest/generated/HDiskSynod.tla
Lexical error at line 2, column 69.  Encountered: "";"" (59), after : """""
Alternate,FAILED,2,Parse Error: Bad Module Body,early,Parse Error: Bad Module Body,"ing ""==== or more Module body""
Encountered ""("" at line 2, column 1 and token ""-----"""
Hanoi,FAILED,2,Parse Error: Bad Module Body,early,Parse Error: Bad Module Body,"""==== or more Module body""
Encountered ""plus"" at line 2, column 1 and token ""----"""
Relation,FAILED,2,Lexical Error: Backtick Character,early,Lexical Error: Backtick Character,"er:latest/generated/Relation.tla
Lexical error at line 2, column 161.  Encountered: ""`"" (96), after : """""
MCEWD687a,FAILED,3,Lexical Error: Semicolon,early,Lexical Error: Semicolon,"r:latest/generated/MCEWD687a.tla
Lexical error at line 3, column 40.  Encountered: "";"" (59), after : """""
EWD998ChanID_export,FAILED,2,Parse Error: Bad Module Body,early,Parse Error: Bad Module Body,"""==== or more Module body""
Encountered ""plus"" at line 2, column 1 and token ""----"""
EWD687a_anim,FAILED,2,Parse Error: Bad Module Body,early,Parse Error: Bad Module Body,"""==== or more Module body""
Encountered ""Plus"" at line 2, column 1 and token ""----"""
TwoPhase,FAILED,2,Parse Error: Bad Module Body,early,Parse Error: Bad Module Body,"""==== or more Module body""
Encountered ""plus"" at line 2, column 1 and token ""----"""
MCConsensus,FAILED,2,Lexical Error: Backtick Character,early,Lexical Error: Backtick Character,"latest/generated/MCConsensus.tla
Lexical error at line 2, column 67.  Encountered: ""`"" (96), after : """""
Majority,FAILED,2,Lexical Error: Other,early,Lexical Error: Other,"er:latest/generated/Majority.tla
Lexical error at line 2, column 166.  Encountered: ""\u221e"" (8734), after : """""
VoucherTransfer,FAILED,2,Parse Error: Bad Module Body,early,Parse Error: Bad Module Body,"g ""==== or more Module body""
Encountered ""The"" at line 2, column 1 and token ""----"""
EnvironmentController,FAILED,2,Lexical Error: Other,early,Lexical Error: Other,"erated/EnvironmentController.tla
Lexical error at line 2, column 196.  Encountered: ""\u2019"" (8217), after : """""
MultiPaxos_MC,FAILED,1,Parse Error: Bad Module Body,early,Parse Error: Bad Module Body,"=== or more Module body""
Encountered ""Modules"" at line 1, column 34 and token ""------"""
VoucherCancel,FAILED,2,Lexical Error: Backtick Character,early,Lexical Error: Backtick Character,"test/generated/VoucherCancel.tla
Lexical error at line 2, column 173.  Encountered: ""`"" (96), after : """""
Consensus,FAILED,2,Parse Error: Bad Module Body,early,Parse Error: Bad Module Body,"ing ""==== or more Module body""
Encountered ""+"" at line 2, column 1 and token ""----"""
MultiPaxos,FAILED,2,Parse Error: Bad Module Body,early,Parse Error: Bad Module Body,"ng ""==== or more Module body""
Encountered ""It"" at line 2, column 1 and token ""----"""
BinarySearch,FAILED,2,Parse Error: Bad Module Body,early,Parse Error: Bad Module Body,"""==== or more Module body""
Encountered ""plus"" at line 2, column 1 and token ""----"""
SimpleRegular,FAILED,2,Parse Error: Bad Module Body,early,Parse Error: Bad Module Body,"ing ""==== or more Module body""
Encountered ""+"" at line 2, column 1 and token ""----"""
BufferedRandomAccessFile,FAILED,630,Lexical Error: Unclosed Comment,late,Lexical Error: Unclosed Comment,"Lexical {error: EOF reached, possibly open comment starting around line 630"
KVsnap,FAILED,2,Lexical Error: Semicolon,early,Lexical Error: Semicolon,"oder:latest/generated/KVsnap.tla
Lexical error at line 2, column 121.  Encountered: "";"" (59), after : """""
MajorityProof,FAILED,1,Parse Error: Bad Module Body,early,Parse Error: Bad Module Body,"g ""==== or more Module body""
Encountered ""TLA"" at line 1, column 59 and token ""-------------------------------"""
YoYoNoPruning,FAILED,4,Lexical Error: Other,early,Lexical Error: Other,"test/generated/YoYoNoPruning.tla
Lexical error at line 4, column 59.  Encountered: ""\u2018"" (8216), after : """""
nbacc_ray97,FAILED,2,Parse Error: Bad Module Body,early,Parse Error: Bad Module Body,"ing ""==== or more Module body""
Encountered ""+"" at line 2, column 1 and token ""----"""
TLAPS,FAILED,3,Lexical Error: Other,early,Lexical Error: Other,"coder:latest/generated/TLAPS.tla
Lexical error at line 3, column 228.  Encountered: ""\u2019"" (8217), after : """""
